Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
NGC821,nid,2.1391988,10.9950077,E6,23.38,1.24,SBF,0.364,-21.53,0.2,-23.984,0.102,320,45,93,209,10,5.64,0.3,11.361,0.036,7.97,0.06,8.23,0.16,0.25
NGC891,nid,2.3759783,42.347123,Sb,8.36,0.56,SBF,0.178,-21.4,0.2,-23.692,0.101,70,20,83,73.1,10.2,5.43,0.36,10.431,0.082,7.31,0.11,nd,nd,nd
NGC910,A347-1,2.424119,41.824392,E,71.4,5,Hubble,0.19,-22.29,0.22,-25.088,0.104,4245,1100,7,249.2,8,9.26,0.65,11.728,0.035,9.14,0.1,nd,nd,nd
Fornax-dE,nid,2.6664722,-34.4491667,dE,0.14,0,TRGB/RRLyr,0.055,-13,0.2,999999,99999,5,0,31,10.4,0.7,0.49,0.07,7.693,0.069,5.8,0,nd,nd,nd
NGC1023,nid,2.6733293,39.0632533,SB0,11.43,1,SBF,0.201,-21.14,0.2,-24.074,0.102,490,30,100a,209,10,2.19,0.15,10.95,0.04,8.14,0.03,7.64,0.04,0.04
NGC1023A,nid,2.6771376,39.0575235,dIrr,11.43,1,SBF,0.202,-15.55,0.53,nd,nd,5.7,2.5,100a,nd,nd,nd,nd,nd,nd,5.93,0.16,nd,nd,nd
NGC1052,nid,2.6846621,-8.2558045,E4,19.35,1.06,SBF,0.088,-21.05,0.2,-23.992,0.101,400,45,33,206.9,4,3.16,0.17,11.1,0.026,8.04,0.05,0,8.53,0
NGC1055,nid,2.6958209,0.4431773,Sb,19,4,TF,0.109,-21.3,0.2,-24.255,0.104,210,40,100a,80,15,nd,nd,nd,nd,7.78,0.08,nd,nd,nd
NGC1132,nid,2.8810505,-1.2746379,E,96.09,4.8,Hubble,0.209,-22.76,0.2,-25.674,0.105,3613,295,1b,246,8.7,15.68,1,11.946,0.036,9.1,0.03,nd,nd,nd
UGC-2413,A397-1,2.9413222,15.9161389,E,145.2,10.2,Hubble,0.387,-22.45,0.2,-25.753,0.107,3020,840,7,289,11,nd,nd,nd,nd,9.01,0.11,nd,nd,nd
